,id,dateCreated,likes,dislikes,rating,viewCount,deleted,channel
85,hVJ9n9bZN4E,2022-04-09T14:12:09.115538Z,8113,141,4.9316694935788705,208798,False,TheMrMobile
86,4qiSfChGWfM,2022-04-09T07:43:03.357916Z,13376,241,4.9292061393845925,259156,False,TheMrMobile
87,DpQff_8R7es,2022-04-09T21:55:30.077657Z,22781,402,4.930638830177285,668140,False,TheMrMobile
88,F5FXW3EWW8c,2022-04-09T06:51:37.852343Z,13405,229,4.932815021270353,370357,False,TheMrMobile
89,QvaFGGOUud4,2022-04-09T16:26:13.910865Z,18174,184,4.959908486763264,296971,False,TheMrMobile
90,I63FOkgXy34,2022-04-08T02:30:07.451916Z,10056,194,4.924292682926829,233980,False,TheMrMobile
91,O7ixEvnm2ok,2022-04-09T07:04:51.560556Z,13381,277,4.918875384390101,274065,False,TheMrMobile
92,btPfdGbCzhw,2022-04-09T12:58:57.716882Z,17876,485,4.894341266815533,543493,False,TheMrMobile
93,BKKyLa3NXC8,2022-04-09T03:23:21.598317Z,17019,305,4.929577464788732,427125,False,TheMrMobile
94,Pi91mtbLgkY,2022-04-09T11:31:27.290579Z,15353,201,4.948309116625948,409672,False,TheMrMobile
95,BGfSr74P6D8,2022-04-09T21:35:49.417406Z,38834,442,4.9549852327120885,925128,False,TheMrMobile
96,OCM3CyJeXsw,2022-04-09T15:25:17.806124Z,16893,139,4.967355565993424,392743,False,TheMrMobile
97,xjb42QwsM5I,2022-04-09T20:50:15.879436Z,16919,220,4.948655114067332,297670,False,TheMrMobile
98,NRFuQ4uZIO8,2022-04-09T12:13:06.059997Z,13249,201,4.940223048327137,404949,False,TheMrMobile
99,TagRfu4kXMY,2022-04-09T21:49:24.381442Z,14188,222,4.9383761276891045,303171,False,TheMrMobile
100,hHMS0An47FY,2022-02-25T13:09:42.250317Z,21736,364,4.934117647058824,474637,False,TheMrMobile
101,Leo7ez9ke0o,2022-04-08T23:41:12.370804Z,10939,168,4.939497614117223,285343,False,TheMrMobile
102,yO8a7qzTJz8,2022-04-09T14:32:23.960438Z,19430,195,4.960254777070063,441576,False,TheMrMobile
103,XRgiSyxrMn0,2022-04-09T14:41:38.792008Z,19392,213,4.956541698546289,507523,False,TheMrMobile
104,Ew06gLKou8s,2022-04-08T13:18:57.607953Z,22248,426,4.9248478433448,1305865,False,TheMrMobile
105,X3E0kbSYd0k,2022-04-09T15:14:36.056188Z,20923,526,4.90190684880414,492884,False,TheMrMobile
106,D9DH17P72UU,2022-04-02T17:33:02.968414Z,15444,254,4.93527837941139,378689,False,TheMrMobile
107,I_ah2lS-xVQ,2022-04-09T08:11:50.78533Z,21699,484,4.9127259613217324,620302,False,TheMrMobile
108,ZnOeEqBuNIo,2022-04-09T10:25:17.558981Z,8787,102,4.954100573742828,236735,False,TheMrMobile
109,dOu_7mLoDNk,2022-03-27T19:56:14.37899Z,11457,122,4.957854737023923,322110,False,TheMrMobile
110,MzQZEcWekK8,2022-04-09T18:38:19.180489Z,14561,203,4.945001354646437,288522,False,TheMrMobile
111,NUr2qwkIuL4,2022-04-09T16:28:59.048126Z,19810,526,4.896538158929976,420051,False,TheMrMobile
112,u7jnzdA7vM0,2022-03-10T09:20:20.724482Z,14695,173,4.95345708905031,262978,False,TheMrMobile
113,lgF-PDXBixU,2022-04-09T08:49:57.859613Z,14872,286,4.9245283018867925,384274,False,TheMrMobile
114,JrkcNAgJkes,2022-04-09T20:05:37.368259Z,21502,406,4.925871827642871,436511,False,TheMrMobile
115,0L8zdoMzohA,2022-04-09T18:09:42.231643Z,21446,253,4.953361906078621,556790,False,TheMrMobile
116,OlnzrxaZViU,2022-04-09T19:36:58.450973Z,13497,275,4.920127795527157,332435,False,TheMrMobile
117,N8z30-qZqEk,2022-04-04T07:17:43.265782Z,12346,144,4.953883106485188,194702,False,TheMrMobile
118,zP9AgA9diEQ,2022-04-09T02:55:12.326169Z,10997,239,4.9149163403346385,213863,False,TheMrMobile
119,nI-Bg6-SgLM,2022-04-09T17:57:01.884358Z,21959,230,4.958538014331426,546805,False,TheMrMobile
120,AUsEmeVOra8,2022-04-09T19:03:49.703973Z,42773,586,4.945939712631749,1377863,False,TheMrMobile
121,QMJ2YonPS8g,2022-04-07T04:00:49.968433Z,19251,349,4.9287755102040816,495457,False,TheMrMobile
122,DDL0mNaytk4,2022-03-12T05:26:46.111038Z,11218,227,4.9206640454346875,223819,False,TheMrMobile
123,YZqBhR985Oo,2022-04-09T17:18:13.598095Z,15858,217,4.946003110419906,347263,False,TheMrMobile
124,-Se_HrAfFz8,2022-04-09T18:06:10.946877Z,24699,393,4.937350549976088,671983,False,TheMrMobile
125,hZP90b1NWuA,2022-04-09T15:43:45.530371Z,14610,222,4.940129449838188,533867,False,TheMrMobile
126,TAd-mvg0HmY,2022-04-06T14:04:20.728036Z,7656,91,4.953014069962566,106368,False,TheMrMobile
127,i5xnD2XLxyo,2022-04-09T06:24:11.4505Z,19248,321,4.934386018703051,614309,False,TheMrMobile
128,VCfyxfygCYA,2022-01-26T10:07:27.836296Z,12723,109,4.9660224438902745,96351,False,TheMrMobile
129,IOPR0NFpKis,2022-04-06T14:20:59.391548Z,16691,273,4.935628389530771,396927,False,TheMrMobile
130,3X279Tg-c4I,2022-03-11T14:42:46.661865Z,12839,160,4.950765443495653,270674,False,TheMrMobile
131,mVgcCEPnLRA,2022-02-19T09:13:49.489188Z,9492,149,4.938180686650762,226910,False,TheMrMobile
132,QgyVUaIzIjA,2022-03-01T05:21:09.32919Z,7316,153,4.918061320123176,142257,False,TheMrMobile
133,OXPQQIREOzk,2022-03-12T06:49:16.84851Z,19906,303,4.940026720767975,422853,False,TheMrMobile
134,CyblHwFhfVk,2022-04-07T18:18:10.714106Z,15722,245,4.938623410784744,385126,False,TheMrMobile
135,pVPMWALFH7U,2022-04-09T18:34:05.801609Z,26884,458,4.9329968546558405,719976,False,TheMrMobile
136,_5RAn0w3SmM,2022-04-08T13:30:43.639155Z,16692,289,4.931923914963783,488316,False,TheMrMobile
137,C4J3QREiuJ0,2022-04-09T06:46:39.925442Z,17967,205,4.954875632841735,508420,False,TheMrMobile
138,OZMWVJDtt6g,2022-04-09T16:02:06.316561Z,28294,512,4.928903700617927,658291,False,TheMrMobile
139,JUlNnqN4cN4,2022-04-09T02:43:38.317943Z,31758,1121,4.863621156361203,1427658,False,TheMrMobile
140,75bf71LpkE8,2022-03-06T15:48:44.505577Z,13754,231,4.933929209867715,263472,False,TheMrMobile
141,c99T_tYemnE,2022-02-16T02:40:05.380688Z,6762,133,4.922842639593909,144369,False,TheMrMobile
142,TE42CCcmEbQ,2022-04-09T14:56:22.620682Z,25314,407,4.9367054158080945,690499,False,TheMrMobile
143,tWdH7cQ_RkI,2022-04-09T16:45:16.576728Z,13610,238,4.931253610629694,297619,False,TheMrMobile
144,TDKnWw5CEZs,2022-04-07T04:41:38.462828Z,9470,133,4.944600645631573,231812,False,TheMrMobile
145,YEbretrjgh4,2022-04-09T18:54:07.532371Z,50627,1048,4.9188776003870345,1782071,False,TheMrMobile
146,DLWmpTOOBYs,2022-02-16T06:46:36.129569Z,7612,124,4.9358841778697,165120,False,TheMrMobile
147,g6ZmlqZaNoM,2022-04-03T08:24:14.678595Z,15887,223,4.9446306641837365,429678,False,TheMrMobile
148,sV7f2-KO7F4,2022-04-09T11:37:09.939469Z,19401,343,4.930510534846029,555254,False,TheMrMobile
149,4NxiAMLjKWs,2022-04-09T17:07:22.771745Z,20274,213,4.958412651925611,525032,False,TheMrMobile
150,UxUDmGHl7Eo,2022-04-09T15:35:04.540806Z,26294,516,4.9230138008205895,924457,False,TheMrMobile
151,YOZi-7V11k8,2022-04-09T21:53:17.713873Z,76429,1794,4.908262275801235,3462102,False,TheMrMobile
152,W-Gt4GpEgyU,2022-04-09T08:49:47.778582Z,16785,333,4.9221871713985275,490571,False,TheMrMobile
153,GsI5Yt6WDlA,2022-04-04T08:47:56.139221Z,13864,319,4.910033138264119,306281,False,TheMrMobile
154,YOHST15ZPm8,2022-04-08T06:23:40.447029Z,8631,107,4.951018539711605,234838,False,TheMrMobile
155,1HdibCYa9FI,2022-04-09T18:46:44.436208Z,33679,402,4.95281828584842,1341797,False,TheMrMobile
156,gw9kwsAgLRo,2022-04-09T15:34:42.21973Z,55657,918,4.935095006628369,2476431,False,TheMrMobile
157,l1ZSCNbBHPE,2022-04-01T17:42:37.876511Z,11203,248,4.91337001135272,326610,False,TheMrMobile
158,u05gxIWYv8k,2022-04-09T13:41:37.402381Z,57171,1087,4.925366473274057,2065674,False,TheMrMobile
159,iyWn-Lb_w_E,2022-04-09T05:20:32.260725Z,17653,318,4.9292192977574985,605253,False,TheMrMobile
160,IO2fY_XIXxI,2022-04-09T21:21:07.640862Z,34817,759,4.914661569597482,1697197,False,TheMrMobile
161,3_eTY57xPpM,2022-04-09T17:42:18.686128Z,17838,580,4.874036268867412,455469,False,TheMrMobile
162,wrUhOqknFc8,2022-04-09T14:24:24.271466Z,16282,384,4.907836313452538,556779,False,TheMrMobile
163,rcfItdQddZE,2022-04-01T23:01:12.377892Z,25013,642,4.899902553108556,765566,False,TheMrMobile
164,f2mS9GJ9hCw,2022-03-12T00:07:03.529386Z,12780,437,4.86774608458803,364510,False,TheMrMobile
165,RW8Ya_NcFOk,2022-01-24T23:15:43.262328Z,10169,215,4.917180277349769,357351,False,TheMrMobile
166,tmvlZoMir7g,2022-04-01T18:41:41.710533Z,7294,118,4.936319481921209,279556,False,TheMrMobile
167,15xR7c0GHQg,2022-03-15T08:21:45.901548Z,13518,471,4.865322753592108,448531,False,TheMrMobile
168,UAGVr3KYvjI,2022-04-08T19:33:18.367425Z,16589,434,4.898020325442049,532690,False,TheMrMobile
169,I6WSY1O-PsA,2022-04-09T10:24:21.735202Z,13591,535,4.848506300438907,391750,False,TheMrMobile
170,5t8RSwbbeCs,2022-04-09T16:40:32.32056Z,10269,204,4.922085362360355,314547,False,TheMrMobile
171,Dv8dM6GtYkc,2022-01-25T03:46:24.256231Z,7233,176,4.90498042920772,216407,False,TheMrMobile
172,wWIpniRuckM,2022-04-08T22:47:40.163065Z,17323,337,4.923669309173273,604477,False,TheMrMobile
173,9aIaH9lZRvY,2022-04-08T02:10:02.541161Z,12532,288,4.910140405616224,558157,False,TheMrMobile
174,F863BrJg4B0,2022-02-23T18:22:09.908977Z,10550,137,4.94872274726303,172356,False,TheMrMobile
175,2cWxLbPk2Y8,2022-03-19T18:20:14.298766Z,10894,466,4.835915492957747,517563,False,TheMrMobile
176,m7lyWSvSWDo,2022-03-06T08:21:48.281937Z,7386,209,4.8899275839368,187051,False,TheMrMobile
177,GA8nCoOfS84,2022-02-20T22:37:03.978107Z,9631,222,4.909875164924388,241001,False,TheMrMobile
178,-YF27OsPmcw,2022-03-10T09:03:42.524661Z,14038,342,4.904867872044506,405875,False,TheMrMobile
179,rxf5WIBSYT0,2022-02-28T05:31:50.926159Z,11586,288,4.9029813036887315,258676,False,TheMrMobile
180,zDYp1DK3chY,2022-01-23T08:52:15.541072Z,7285,111,4.939967550027042,138937,False,TheMrMobile
181,fh_40e2safE,2022-02-19T03:36:05.147286Z,12301,284,4.909733810091379,436983,False,TheMrMobile
182,pqqIb8MiHa8,2022-03-03T09:33:25.839618Z,8197,136,4.934717388695548,194356,False,TheMrMobile
183,2X8JkahaW4U,2022-02-14T11:44:37.427862Z,10021,411,4.842407975460123,247915,False,TheMrMobile
